"trick","obstacledetail","obstacle","cnt"
"fs noseslide","plain jane","ledge",2
"fs noseslide to fakie","into bank","ledge",1
"fs noseslide to fakie","ledge to gap","ledge",1
"fs noseslide to fs 270","plain jane","ledge",1
"fs noseslide to fs shuv","outledge","ledge",1
"fs noseslide to nollie meatspin","plain jane","ledge",1
"fs shuv to bs 5050","plain jane","ledge",1
"fs tailslide to fs bigspin","plain jane","ledge",1
"fs tailslide to kickflip","hubba","ledge",1
"fs tailslide to kickflip to fakie","bump to ledge","ledge",1
"fs wallride indie","to stairs","wall",1
"fs wallride to bs 180","wall to gap","wall",1
"fs wallride to bs bigspin","street transition","transition",1
"fs wallride to fs 5-0","wall to handrail","handrail",1
"fs wallride to fs lipslide","to ledge","wall",1
"fullcab kickflip","over pad","gap",1
"fullcab kickflip","plain jane","flat",1
"fullcab to sw bs 5050","gap to curb","curb",1
"halfcab","into bank","flat",1
"halfcab hippie flip","into bank","gap",1
"halfcab kickflip to manny to bs revert to fakie manny to fakie kickflip","plain jane","pad",1
"halfcab to bs noseblunt to fakie","banked ledge","ledge",1
"halfcab to bs noseslide to sw fs 270 to fakie manny","plain jane","ledge",1
"halfcab to fs blunt to fakie","bank to ledge","ledge",1
"halfcab to fs noseblunt to nollie kickflp","plain jane","ledge",1
"halfcab to fs noseslide","outledge","ledge",1
"halfcab to sw fs nosegrind to fakie","concrete skatepark","transition",1
"halfcab to transfer bs noseblunt","ledge to drop","ledge",1
"hardflip","bump to gap","gap",1
"hardflip","into bank","gap",1
"hardflip","over wall","gap",1
"hardflip","plain jane","stairs",3
"hardflip to fakie","miniramp","transition",1
"hardflip to fs blunt","plain jane","ledge",1
"hardflip to manny","plain jane","pad",1
"heelflip","flat gap","gap",1
"heelflip","plain jane","stairs",1
"heelflip to bs crook","plain jane","hubba",1
"heelflip to bs crook","plain jane","ledge",1
"heelflip to bs lipslide","outledge","ledge",1
"heelflip to firecracker","plain jane","gap",1
"heelflip to fs crook to fakie","plain jane","ledge",1
"impossible","stairs","gap",1
"impossible to fs 5-0","bump to can","ledge",1
"kickflip","bump to gap","gap",1
"kickflip","concrete skatepark","gap",1
"kickflip","escalator","bank",1
"kickflip","hip","transition",1
"kickflip","into bank","flat",1
"kickflip","into bank","gap",2
"kickflip","over bar","flat",1
"kickflip","over rail","gap",1
"kickflip","over rail into bank","gap",1
"kickflip","plain jane","gap",4
"kickflip","plain jane","stairs",3
"kickflip","stairs to disaster","stairs",1
"kickflip to bs body varial","plain jane","gap",1
"kickflip to bs lipslide","bump to curb","curb",1
"kickflip to bs noseblunt to fakie","plain jane","ledge",1
"kickflip to bs noseslide","plain jane","ledge",1
"kickflip to bs noseslide to fakie","into bank","ledge",1
"kickflip to bs tailslide","outledge","ledge",1
"kickflip to bs tailslide","plain jane","ledge",1
"kickflip to bs tailslide to bs 360","plain jane","ledge",1
"kickflip to bs tailslide to bs bigspin","plain jane","handrail",1
"kickflip to bs tailslide to shuv","to stairs","ledge",1
"kickflip to fakie","plain jane","bank",1
"kickflip to fs 5050","plain jane","handrail",1
"kickflip to fs crook to fs crook","drop","ledge",1
"kickflip to fs tailslide","plain jane","ledge",1
"kickflip to manny to bs wallride to shuv","to wall","pad",1
"kickflip to ollie to kickflip","playground","pad",1
"kickflip to transfer fs noseslide","bump to ledge","ledge",1
"kicklip to manny to bs 5050","pad to ledge","pad",1
"late bs bigspin","plain jane","stairs",1
"manny","into bank","pad",1
"manny to bs bigspin","plain jane","pad",1
"manny to bs boardslide","pad to handrail","pad",1
"manny to wallride nollie to manny","pad to wall to pad","pad",1
"melon bash","sign on stairs","stairs",1
"no comply","over can","flat",1
"no comply","plain jane","gap",1
"no comply","up stairs","stairs",1
"no comply to bs tailslide","plain jane","ledge",1
